numero_serial;modelo;mid;estado;nome;nome_fantasia;codigo;fornecedor;AQUISICAO
VF80063192;X990;307594;NO CLIENTE;EDGAR LIMA DA COSTA;EDGAR DEMOLICOES;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80063152;X990;1013760;NO CLIENTE;LUIS APARECIDO PADAVINI;BANCA DE FRUTAS PADAVINI;1708;ANA PAULA MIELLI;ALUGADA
VF80009941;X990;1091194;NO CLIENTE;VICTOR MANOEL ALEIXO SANTOS CAVALCANTE;MACLAREN'S BURGUER;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063294;X990;1207946;NO CLIENTE;VIP OUTLET COMERCIO LTDA;VIP OUTLET;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063271;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80002624;X990;1091022;NO CLIENTE;DON OLIVER PIZZARIA LTDA;DON OLIVER PIZZARIA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80009957;X990;1198351;NO CLIENTE;DIMAS LUI GODOI;ADEGA GOLD BEER;1708;ANA PAULA MIELLI;ALUGADA
VF80008286;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80008340;X990;1059304;NO CLIENTE;CLAYTON WERSON DA SILVA;BENTUS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005482;X990;1091840;NO CLIENTE;ELIAS JOSE SILVA DE LIMA;BORRACHARIA E TROCA DE OLEO AVENIDA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063275;X990;1096817;NO CLIENTE;NARCISO BORIM JUNIOR;NARCISO BORIM JUNIOR;1708;ANA PAULA MIELLI;ALUGADA
VF80008915;X990;1059309;NO CLIENTE;ENELIRAN OSCAR DA SILVA DANTAS;SHINZOO SUSHI;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80008921;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80005478;X990;1196814;NO CLIENTE;ENELIRAN OSCAR DA SILVA DANTAS;SHINZOO SUSHI;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80008409;X990;1142248;NO CLIENTE;EDUARDA LEONIA SANTOS DA SILVA;DECO LANCHES;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063059;X990;1198023;NO CLIENTE;PESQUEIRA COMERCIO DE UTILIDADES LTDA;CASA NOVA IMPORTADOS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062477;X990;1090393;NO CLIENTE;ADRIANA RAMOS DE MELO PEREIRA;MUNDO DOS LIVROS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80009944;X990;1198023;NO CLIENTE;PESQUEIRA COMERCIO DE UTILIDADES LTDA;CASA NOVA IMPORTADOS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063300;X990;1090393;NO CLIENTE;ADRIANA RAMOS DE MELO PEREIRA;MUNDO DOS LIVROS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005489;X990;1026739;NO CLIENTE;J N B AMORIM;A MANA SHOPPING;1708;ANA PAULA MIELLI;ALUGADA
VF80008322;X990;1125957;NO CLIENTE;MARCIA CIBELE ROBATINI;FLORES E FLORES FLORICULTURA;1708;ANA PAULA MIELLI;ALUGADA
VF80005356;X990;308495;NO CLIENTE;QUIOSQUE ZUCCATO LTDA;QUIOSQUE ZUCCATO;1708;ANA PAULA MIELLI;ALUGADA
VF80005479;X990;909590;NO CLIENTE;FELIPE AP DE MORAES FERREIRA DE ANDRADE;SINALIZE COMUNICACAO;1708;ANA PAULA MIELLI;ALUGADA
VF80009827;X990;1198191;NO CLIENTE;ANDERSON DE SOUZA BRAGANTINI;BRAGANTINI MECANICA;2941;AZUL PAGAMENTOS LTDA;ALUGADA
VF80005370;X990;1169798;NO CLIENTE;R. RIBAS REPRESENTACAO COMERCIAL - ME;R. RIBAS REPRESENTACAO COMERCIAL - ME;1708;ANA PAULA MIELLI;ALUGADA
VF80005488;X990;308495;NO CLIENTE;QUIOSQUE ZUCCATO LTDA;QUIOSQUE ZUCCATO;1708;ANA PAULA MIELLI;ALUGADA
VF80009066;X990;1071856;NO CLIENTE;GABRIEL MORETTI JORGE;GABRIEL MORETTI JORGE;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80005524;X990;308700;NO CLIENTE;ALFREDO GUILHERME MONTANHEIRO APARECIDO;PJ GR PRINTER;1708;ANA PAULA MIELLI;ALUGADA
VF80005473;X990;1058413;NO CLIENTE;LETYCIA GOMES LIRA ARAUJO;BONNA MASSA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005468;X990;314641;NO CLIENTE;LUIZA MARIA DE OLIVEIRA BARATELLA;LUIZA - CONSULTORIO ODONTOLOGICO;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80005475;X990;314366;NO CLIENTE;PAULO AFONSO TOVAZZI;CPF - AUTO ELETRICA AFFONSO;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80005477;X990;1198198;NO CLIENTE;LEONARDO SANCHES PEREIRA;LEONARDO SANCHES PEREIRA;2941;AZUL PAGAMENTOS LTDA;ALUGADA
VF80002648;X990;1199866;NO CLIENTE;CAO SILVA LTDA;G EXATAPAY;2932;GRUPO EXATAPAY;ALUGADA
VF80009068;X990;1175744;NO CLIENTE;SERRARIA MADERONE LTDA;SERRARIA MADERONE LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80009077;X990;1061130;NO CLIENTE;ALQUIMET ALIMENTOS COMERCIO E SERVICOS LTDA;ALQUIMEAT;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80005467;X990;1196823;NO CLIENTE;WEDSON CUNHA SANTOS;FARMACIA FBB;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80009823;X990;1059304;NO CLIENTE;CLAYTON WERSON DA SILVA;BENTUS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80009061;X990;1217785;NO CLIENTE;RANNA CRISTINA GONCALVES;GAMES STUDIO;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80005472;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80005469;X990;303673;NO CLIENTE;CENTRO DE FORMACAO DE CONDUTORES SOCORRENSE LTDA;AUTO ESCOLA SOCORRENSE;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80063512;X990;1116124;NO CLIENTE;LUIS AUGUSTO APARECIDO ALVES DE OLIVEIRA;SORVETERIA DO GE;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80063496;X990;995985;NO CLIENTE;CASA DE CARNES SERVE LAR LTDA;CASA DE CARNES SERVE LAR LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80062382;X990;1116124;NO CLIENTE;LUIS AUGUSTO APARECIDO ALVES DE OLIVEIRA;SORVETERIA DO GE;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062851;X990;995985;NO CLIENTE;CASA DE CARNES SERVE LAR LTDA;CASA DE CARNES SERVE LAR LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80063475;X990;929507;NO CLIENTE;EDSON FAUSTINO RESTAURANTE E GASTRONOMIA;A MANA CENTRO;1708;ANA PAULA MIELLI;ALUGADA
VF80062778;X990;1167084;NO CLIENTE;CENTRO AUTOMOTIVO MANTOVANI PNEUS LTDA;MANTOVANI PNEUS;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062724;X990;995985;NO CLIENTE;CASA DE CARNES SERVE LAR LTDA;CASA DE CARNES SERVE LAR LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80063490;X990;1017160;NO CLIENTE;ROGERIO DE OLIVEIRA SUNIGA;MECANICA SUNICAR;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062802;X990;1002703;NO CLIENTE;ZENE MODA FITNESS LTDA;ZENE ACTIVEWEAR;1708;ANA PAULA MIELLI;ALUGADA
VF80062262;X990;1196823;NO CLIENTE;WEDSON CUNHA SANTOS;FARMACIA FBB;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062460;X990;1196823;NO CLIENTE;WEDSON CUNHA SANTOS;FARMACIA FBB;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062096;X990;1061130;NO CLIENTE;ALQUIMET ALIMENTOS COMERCIO E SERVICOS LTDA;ALQUIMEAT;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80063220;X990;1153807;NO CLIENTE;VALDEMAR AUGUSTO SOARES;VALDEMAR AUGUSTO SOARES;1708;ANA PAULA MIELLI;ALUGADA
VF80063485;X990;1059304;NO CLIENTE;CLAYTON WERSON DA SILVA;BENTUS;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062122;X990;1196377;NO CLIENTE;WILKEVERSON IRANILDO SILVA FARIAS;PIZZARIA SABOR PAULISTA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063468;X990;1196286;NO CLIENTE;DONGXIAN LU;SHOPPI DA CIDADE;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062821;X990;1059309;NO CLIENTE;ENELIRAN OSCAR DA SILVA DANTAS;SHINZOO SUSHI;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062839;X990;1086830;NO CLIENTE;JORDANIA ROGERIA DO NASCIMENTO;LUA CHEIA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062374;X990;1142248;NO CLIENTE;EDUARDA LEONIA SANTOS DA SILVA;DECO LANCHES;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80063498;X990;1199952;NO CLIENTE;A L DE LIMA SOUZA LTDA;MUNDO 20;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062200;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80062032;X990;1199866;NO CLIENTE;CAO SILVA LTDA;G EXATAPAY;2932;GRUPO EXATAPAY;ALUGADA
VF80062213;X990;1212381;NO CLIENTE;CHOPP XV LTDA;CHOPP XV LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80062020;X990;1197045;NO CLIENTE;CLUBE XV DE AGOSTO;CLUBE XV DE AGOSTO;2819;DAVID MACHADO DACOL;ALUGADA
VF80062022;X990;1202962;NO CLIENTE;FABIANA GERALDI MIELLI LTDA;D VENETTO;1708;ANA PAULA MIELLI;ALUGADA
VF80062025;X990;303970;NO CLIENTE;MARCO A. BATISTA SOCORRO;LOJA FORATO;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062161;X990;1038898;NO CLIENTE;EDNA VEDOVOTTO PEREIRA;CRISTIANO ASSADOS;1708;ANA PAULA MIELLI;ALUGADA
VF80062091;X990;304648;NO CLIENTE;ALTEMAR DE BARROS MACHADO ODONTOLOGICOS;DENTAL SOCORRENSE;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062428;X990;1198189;NO CLIENTE;MAICO DO PRADO LUCATELI;MAICO CAFETERIA E LANCHONETE;2941;AZUL PAGAMENTOS LTDA;ALUGADA
VF80062249;X990;1147907;NO CLIENTE;EDER ALEXANDRE MATHIAS CIRILO;EDER ALEXANDRE MATHIAS CIRILO;1708;ANA PAULA MIELLI;ALUGADA
VF80062259;X990;865036;NO CLIENTE;ANDREIA APARECIDA DE OLIVEIRA MENDES;CNPJ  ANDREIA MENDES;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062206;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80062528;X990;1198196;NO CLIENTE;Z3 TICKETS E EVENTOS LTDA;Z3 TICKETS E EVENTOS;2941;AZUL PAGAMENTOS LTDA;ALUGADA
VF80062252;X990;314414;NO CLIENTE;BEATRIZ DE OLIVEIRA SANTOS;CPF - CLINICA PROJETO MANDALA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062392;X990;1159192;NO CLIENTE;LG PADARIA E MERCEARIA LTDA;LG PADARIA E MERCEARIA LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80062451;X990;1051635;NO CLIENTE;ELIEDES APARECIDA FORMAGIO CONFECCOES ME;ESTACAO BRAZIL UNIFORMES;1708;ANA PAULA MIELLI;ALUGADA
VF80062526;X990;862142;NO CLIENTE;FERNANDO BAREL;CPF CASA DE CARNES SANTO ANTONIO;1708;ANA PAULA MIELLI;ALUGADA
VF80062274;X990;1091022;NO CLIENTE;DON OLIVER PIZZARIA LTDA;DON OLIVER PIZZARIA;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062230;X990;960153;NO CLIENTE;FABIO HENRIQUE MARTINS LINO;CIRCUITO DISTRIBUIRA;1708;ANA PAULA MIELLI;ALUGADA
VF80062192;X990;1212945;NO CLIENTE;PWA TECNOLOGIA LTDA;PWA TECNOLOGIA LTDA;2820;TRION PARTNERS LTDA;ALUGADA
VF80062360;X990;1091194;NO CLIENTE;VICTOR MANOEL ALEIXO SANTOS CAVALCANTE;MACLAREN'S BURGUER;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062474;X990;1091194;NO CLIENTE;VICTOR MANOEL ALEIXO SANTOS CAVALCANTE;MACLAREN'S BURGUER;2086;ELVYS - GRUPO POWERPAY;ALUGADA
VF80062409;X990;303473;NO CLIENTE;JOSE EDUARDO CARRADORI;DUDA PREPARACOES;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062342;X990;314491;NO CLIENTE;ISABELA ALVES BARBOSA;DRA ISABELA BARBOSA ODONTOLOGIA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062416;X990;307591;NO CLIENTE;CLEBER OLIANI HARADA;AGRO RIO AGROPECUARIA;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062350;X990;1198356;NO CLIENTE;MINI FAZENDINHA TIA LINDA EMPREENDIMENTOS TURISTICOS LTDA;MINI FAZENDINHA;1708;ANA PAULA MIELLI;ALUGADA
VF80062371;X990;307609;NO CLIENTE;VINCENZO D ARPA;QUINTAL DO ITALIANO;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062362;X990;1223544;NO CLIENTE;RS ALVES LANCHONETE;O REI DO SUCO;2980;SUPERAPP SERVICOS;ALUGADA
VF80062363;X990;1198351;NO CLIENTE;DIMAS LUI GODOI;ADEGA GOLD BEER;1708;ANA PAULA MIELLI;ALUGADA
VF80062364;X990;860193;NO CLIENTE;ARIANE DO AMARAL;ARIANE DO AMARAL;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062407;X990;307892;NO CLIENTE;BEATRIZ DE OLIVEIRA SANTOS LTDA;CLINICA PROJETO MANDALA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062536;X990;1217289;NO CLIENTE;LUAN TAVARES RISARDI;LTR MECANICA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80062527;X990;314649;NO CLIENTE;VITOR HUMBERTO BUZETTO;VB CAR;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80062388;X990;303970;NO CLIENTE;MARCO A. BATISTA SOCORRO;LOJA FORATO;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80062733;X990;929444;NO CLIENTE;MILTON ROGERIO FERREIRA RIBESSI;A R CARNES;1708;ANA PAULA MIELLI;ALUGADA
VF80062499;X990;1167084;NO CLIENTE;CENTRO AUTOMOTIVO MANTOVANI PNEUS LTDA;MANTOVANI PNEUS;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
